Article File,AccessionID,PMID,MID,LastUpdated (YYYY-MM-DD HH:MM:SS)
PMC003xxxxxx/PMC3560290.xml,PMC3560290,22487856,NIHMS391138,"2024-12-16 23:22:53"
PMC003xxxxxx/PMC3562403.xml,PMC3562403,23051607,NIHMS413279,"2024-12-16 23:22:53"
PMC003xxxxxx/PMC3563260.xml,PMC3563260,20659065,NIHMS364558,"2024-12-16 23:22:53"
PMC003xxxxxx/PMC3569710.xml,PMC3569710,23335026,NIHMS437639,"2024-12-16 23:22:54"
PMC003xxxxxx/PMC3984536.xml,PMC3984536,23836234,NIHMS556573,"2024-12-16 23:22:54"
PMC003xxxxxx/PMC3984599.xml,PMC3984599,24666134,NIHMS558388,"2024-12-16 23:22:54"
PMC003xxxxxx/PMC3984922.xml,PMC3984922,21674736,NIHMS565424,"2024-12-16 23:22:54"
PMC003xxxxxx/PMC3985491.xml,PMC3985491,24126091,NIHMS568145,"2024-12-16 23:22:54"
PMC003xxxxxx/PMC3988783.xml,PMC3988783,21081125,NIHMS256663,"2024-12-16 23:22:54"
PMC003xxxxxx/PMC3989504.xml,PMC3989504,24446880,NIHMS545288,"2024-12-16 23:22:54"
PMC003xxxxxx/PMC3990217.xml,PMC3990217,23148958,NIHMS540086,"2024-12-16 23:22:54"
PMC004xxxxxx/PMC4126520.xml,PMC4126520,23392631,NIHMS573234,"2024-12-16 23:22:54"
PMC004xxxxxx/PMC4127133.xml,PMC4127133,24801708,NIHMS602983,"2024-12-16 23:22:54"
PMC004xxxxxx/PMC4127357.xml,PMC4127357,24704183,NIHMS582385,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7615924.xml,PMC7615924,38587076,EMS195519,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7616691.xml,PMC7616691,39356622,EMS199202,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7616809.xml,PMC7616809,39498563,EMS199362,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7616950.xml,PMC7616950,33687948,EMS128783,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7617184.xml,PMC7617184,39664202,EMS184997,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7617208.xml,PMC7617208,28834355,EMS82726,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7617230.xml,PMC7617230,39679193,EMS198050,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7617233.xml,PMC7617233,37596472,EMS201739,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7617234.xml,PMC7617234,39332412,EMS201736,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7617235.xml,PMC7617235,32865891,EMS201732,"2024-12-16 23:22:54"
PMC007xxxxxx/PMC7617236.xml,PMC7617236,39604727,EMS201733,"2024-12-16 23:22:54"
PMC010xxxxxx/PMC10798060.xml,PMC10798060,38102496,NIHMS1953076,"2024-12-16 23:22:45"
PMC010xxxxxx/PMC10838708.xml,PMC10838708,37952237,NIHMS1963268,"2024-12-16 23:22:45"
PMC011xxxxxx/PMC11646150.xml,PMC11646150,24267431,NIHMS533191,"2024-12-16 23:22:54"
PMC011xxxxxx/PMC11646336.xml,PMC11646336,30129477,NIHMS2037386,"2024-12-16 23:22:45"
PMC011xxxxxx/PMC11646557.xml,PMC11646557,38411838,NIHMS2039663,"2024-12-16 23:22:45"
PMC011xxxxxx/PMC11646681.xml,PMC11646681,38598574,NIHMS1991547,"2024-12-16 23:22:46"
